GEOID10,intersects_leveedarea
060530107013,0
060530107011,0
060530108042,1
060530009001,0
060530009003,0
060530015001,0
060530017001,0
060530102023,0
060530146013,0
060530146011,0
060530101012,1
060530143021,1
060830020112,0
060830020113,0
060830016012,0
060830016011,0
060830016013,0
060830011021,0
060830018001,0
060830023042,1
060830023044,1
060830024021,0
060830024024,0
060830024023,0
060830024031,1
060830024033,0
060830024042,0
060830024044,0
060830024043,0
060830024041,0
060830019011,0
060830019012,0
060830019013,0
060830019031,0
060530143022,0
060530104001,1
060530104004,0
060530105051,0
060530106031,0
060530125022,0
060530127002,0
060530128002,0
060530148001,0
060530107022,0
060530110003,0
060830026041,0
060830028086,0
060830027031,0
060830028021,0
060830028022,0
060830028062,0
060830028081,0
060830019032,0
060830019034,0
060830019051,0
060830019053,0
060830019052,0
060830019065,0
060830019061,0
060830019062,0
060830019063,0
060530124023,0
060530124011,0
060530119004,0
060530111012,0
060530111021,0
060530112021,0
060530112032,0
060530112041,1
060530112042,0
060530112033,0
060530114001,0
060530113031,0
060530112031,0
060530112023,0
060530113032,0
060530113023,0
060830028082,0
060830028091,0
060830028093,0
060830028092,0
060830028094,0
060830027024,0
060830027025,0
060830027021,0
060830027032,0
060830027023,0
060830027022,0
060830011011,0
060830027052,0
060830027053,0
060530113042,1
060530113043,0
060530116041,1
060530140001,0
060530133002,0
060530132002,0
060530130002,0
060530120001,0
060530132001,0
060830027063,0
060830027062,0
060830027061,0
060830027064,0
060830027065,0
060830027071,0
060830027072,0
060830027073,0
060830027083,0
060830027082,0
060830027081,0
060830028023,0
060830028024,0
060830028061,0
060830019033,0
060830019035,0
060830023062,1
060830023063,1
060830023061,1
060830023064,1
060830023051,1
060530116021,1
060530141041,0
060530141071,0
060530115021,0
060530005021,0
060530009002,0
060530006001,0
060530142013,0
060530135001,0
060530137001,0
060530142011,0
060830028083,0
060830028084,0
060830028085,0
060830001011,0
060830001012,0
060830001013,0
060830001024,0
060830021031,0
060830021033,1
060830029151,0
060830029224,1
060830029281,0
060830031021,0
060830001014,0
060830017041,0
060830017042,0
060830017061,0
060830017063,0
060830017065,0
060830020074,0
060110001002,1
060110004003,0
060110001001,1
060110002002,1
060110004002,1
060110005001,1
060110005004,1
060110005003,1
060110003001,1
060110002005,1
060110001004,1
060110003004,1
060110005002,1
060110004001,1
060530142022,0
060530142012,0
060530106042,0
060530007022,0
060530142021,0
060530105042,0
060530106072,0
060530007012,0
060530004001,0
060530005012,0
060530013001,0
060530015003,0
060830001021,0
060830001022,0
060830001023,0
060830001032,0
060830001031,0
060830001033,0
060830002003,0
060830005011,0
060830005012,0
060830005013,0
060830020075,0
060830020076,0
060830020077,0
060830023035,1
060830025023,1
060830029222,0
060830029223,0
060830029302,0
060830029305,0
060830029306,0
060839800001,1
060839801001,0
060110002001,1
060110002003,1
060110002004,1
060110003002,0
060110003003,0
060110001003,0
060530101011,1
060530105013,0
060530148003,0
060530141072,0
060530135003,0
060530137003,0
060530141042,0
060530141043,0
060530141073,0
060530005011,0
060530105052,0
060830005022,0
060830005021,0
060830007001,0
060830007002,0
060830007003,0
060830007004,0
060830015001,0
060830015002,0
060830029063,0
060830029061,1
060839900000,0
060830003011,0
060830003012,0
060830003013,0
060830003021,0
060830003022,0
060830003023,0
060830003024,0
060830003025,0
060830008042,0
060830008043,0
060830008044,0
060830008045,0
060830012061,0
060830012062,0
060530106051,0
060530108043,0
060530002002,0
060530003002,0
060530003001,0
060530008002,0
060530145002,0
060530126001,0
060530105061,0
060530118011,0
060530122002,0
060530123021,0
060530005022,0
060530007023,0
060530103061,1
060530145001,0
060530148002,0
060830029062,0
060830029071,0
060830029072,0
060830029073,0
060830029091,0
060830029092,0
060830029093,0
060830029132,0
060830029131,0
060830012063,0
060830012081,0
060830012082,0
060830012083,0
060830012084,0
060830012085,0
060830013041,0
060830013042,0
060530145003,0
060530012002,0
060530012001,0
060530014001,0
060530014002,0
060530015002,0
060530001012,0
060530127001,0
060530119002,0
060530119001,0
060530134001,0
060530143011,0
060530116024,0
060530113041,1
060530116022,0
060539900000,0
060530119003,0
060830029142,0
060830029141,0
060830030012,0
060830030014,0
060830030013,0
060830030015,0
060830030042,0
060830030041,0
060830030043,0
060830030053,0
060830030051,0
060830013043,0
060830013044,0
060830013045,0
060830013046,0
060830013047,0
060830013048,0
060530147002,0
060530125024,0
060530125023,0
060530125021,0
060530125025,0
060530128005,0
060530128004,0
060530128001,0
060530128003,0
060530127004,0
060530127003,0
060530130003,0
060830030052,0
060830002002,0
060830002001,0
060830004005,0
060830004004,0
060830004003,0
060830004002,0
060830004001,0
060830005024,0
060830005023,0
060830005025,0
060830013049,0
060830013061,0
060830013062,0
060830013063,0
060830014021,0
060530130001,0
060530131001,0
060530133003,0
060530133004,0
060530133001,0
060530120002,0
060530121001,0
060530121002,0
060530122001,0
060530124012,0
060530124022,0
060830005026,0
060830006005,0
060830006004,0
060830006006,0
060830006002,0
060830006001,0
060830008013,0
060830008012,0
060830008011,0
060830009002,0
060830009001,0
060830010005,0
061030011003,0
061030004003,0
061030011006,0
061030010004,0
061030001002,1
061030010002,1
060830014022,0
060830014023,0
060830014024,0
060830015003,0
060830016041,0
060830016042,0
060830016043,0
060830017062,0
060830017064,0
060530124021,0
060530135002,0
060530136002,0
060530136001,0
060530137002,0
060530138001,0
060530138002,0
060530138003,0
060530139002,0
060530139001,0
060530111013,0
060530111022,0
060530111023,0
060830010004,0
060830010003,0
060830010002,0
060830010001,0
060830011022,0
060830011023,0
060830011013,0
060830011014,0
060830011012,0
060830012032,0
060830012031,0
061030010005,0
061030003002,0
061030009001,1
061030011002,0
061030010001,0
061030001001,0
061030007004,0
061030008003,1
061030008001,0
061030002002,0
061030009003,1
061030001004,1
061030001003,1
061030004001,0
061030004002,0
061030011001,0
060830019014,0
060830019015,0
060830019064,0
060830020051,0
060830025021,0
060830025022,1
060830025024,0
060830027051,0
060830029143,0
060830029221,0
060830029225,0
060530107012,1
060530111011,1
060530106062,0
060530107021,1
060530143012,0
060530146012,1
060530001021,0
060530001042,0
060530002001,0
060530001023,0
060530001011,0
060530001041,0
060530105062,0
060830020121,0
060830020123,0
060830020052,0
060830020054,0
060830020053,0
060830020062,1
060830020061,0
060830020071,0
060830020072,0
060830020073,0
060830020081,0
060830020083,0
061030006003,0
061030005003,0
061030010003,0
061030006002,1
061030007002,0
061030008002,1
061030008004,1
060830029241,0
060830029242,0
060830029243,0
060830029244,0
060830029261,0
060830029262,0
060830029263,0
060830029282,0
060830029301,0
060830029303,0
060830029304,0
060830029321,0
060830029322,0
060830030011,1
060830030071,0
060830030072,0
060830030073,0
060830031022,0
060530001032,0
060530001031,0
060530105041,0
060530117003,1
060530002004,0
060530002003,0
060530106081,0
060530004002,0
060530106082,0
060830020082,0
060830020084,0
060830020085,0
060830020092,0
060830020093,0
060830020091,0
060830020103,0
060830020101,0
060830020104,0
060830020102,0
060830021032,0
060830021012,1
060830022113,1
061030005002,0
061030003001,0
061030002001,0
061030002003,0
061030005004,0
061030007001,0
061030005005,0
061030011005,0
061030007003,0
061030011004,0
061030006001,0
060830031023,0
060830016044,0
060830026061,0
060830006003,0
060830008041,0
060530106071,0
060530106041,0
060530018021,0
060530004003,0
060530018023,0
060530106061,1
060530018012,0
060530018011,0
060530017002,0
060530141051,0
060830022091,1
060830022112,1
060830024022,0
060830021021,1
060830021022,1
060830021011,1
060830022092,1
060830022101,1
060830022052,1
060830022051,1
060830022053,1
060830022063,1
061030005001,0
061030007005,0
061030009002,0
060530141021,0
060530107014,0
060530006003,0
060530106083,0
060530007021,0
060530006004,0
060530008003,0
060530006002,0
060530007013,0
060530007011,0
060530106032,0
060530008001,0
060539800001,0
060830020122,0
060830020131,0
060830020132,0
060830020111,0
060830022061,1
060830022062,1
060830022103,1
060830022111,1
060830022102,1
060830022114,1
060830024032,0
060830023054,1
060830023053,1
060830023052,1
060830023034,1
060830023033,1
060830023032,1
060830023031,1
060830023043,1
060830023041,1
060610207123,1
060610210033,0
060610210035,0
060610226001,0
060610211233,0
060610212032,0
060610232001,0
060250117002,0
060250118011,0
060250118022,0
060250118021,0
060250118024,0
060250113003,0
060250113004,0
060250108002,0
060250109002,0
060250109001,0
060250109005,0
060871222011,0
060871005001,0
060871006002,0
060871006003,0
060871007002,1
060510001023,0
060510002001,0
060510002003,0
060510002005,0
060510002006,0
060530016002,0
060530117002,1
060530117001,0
060530118022,0
060530118021,0
060530118012,0
060530110005,0
060530110004,0
060530110001,0
060530110002,0
060530147004,1
060250109004,0
060250109003,0
060250109006,0
060250110005,0
060250110004,0
060250110003,0
060250110002,0
060530103053,0
060530103052,0
060530103051,0
060530101021,1
060530101022,0
060530141022,0
060530102022,0
060530102021,1
060530018022,0
060530016001,0
060530105011,0
060530105012,0
060530105014,0
060871007001,1
060871008006,0
060871008005,1
060871008002,0
060871009003,0
060871009002,0
060871010001,1
060871010005,0
060530147003,0
060530104003,0
060530104002,0
060530147001,1
060530108041,0
060530109001,0
060530112022,0
060530001022,0
060530113021,0
060530113022,0
060250110001,0
060250123012,0
060250123023,1
060250123022,0
060250123021,0
060259400003,1
060259400001,1
060259400002,1
060250102002,0
060250101011,0
060250124001,1
060250104005,0
060250119002,0
060871010006,1
060871011005,0
060871010002,1
060871010007,1
060871011003,0
060871011001,0
060871011002,0
060871010003,1
060610207141,0
060610205021,0
060610204012,0
060610206052,0
060610203002,0
060610215021,0
060610218013,0
060610220021,0
060610219023,0
060610218023,0
060610218024,0
060610202001,0
060610219022,0
060610222001,0
060610204011,0
060610215022,0
060610218021,0
060610220132,0
060610212041,0
060610206022,0
060610210034,0
060610233002,0
060610210343,0
060610211281,0
060610211311,0
060610228001,0
060610210403,0
060250120021,0
060250121004,0
060250120022,0
060250121001,0
060250122003,0
060250122002,0
060250122004,0
060250102001,0
060250103001,0
060250110006,0
060871012001,0
060871012002,0
060871006001,0
060871008001,0
060871209003,0
060871207001,0
060871209001,0
060871225003,0
060871215002,0
060510002007,0
060510001021,0
060510001022,0
060510001011,1
060510001012,0
060510002002,0
060510002008,0
060510001024,0
060510002009,0
060510001013,0
060510002004,0
060510001014,0
060610208061,0
060610239001,0
060610206012,0
060610220023,0
060610206021,0
060610206025,0
060610209011,0
060610213044,0
060610213043,0
060610213042,0
060610219011,0
060610209081,0
060610215013,0
060610210402,0
060610210392,0
060610210442,0
060610212031,0
060610211061,0
060610211062,0
060250107003,0
060250113001,0
060250111002,0
060250112022,0
060250114003,0
060250118023,0
060250115004,0
060250117003,0
060871215001,0
060871101003,1
060871103004,1
060871104002,1
060871223003,0
060871223002,0
060871101001,1
060871224001,0
060871225002,0
060871101004,1
060610205013,0
060610209012,0
060610206024,0
060610207131,1
060610207103,1
060610218022,0
060610206044,0
060610202004,0
060610216041,0
060610201061,0
060610205011,0
060610213092,0
060610238001,0
060610207171,0
060610234001,0
060610214035,0
060610214034,0
060610216042,0
060610216033,0
060610214031,0
060610210432,0
060050002003,0
060050002002,0
060050004014,0
060050004013,0
060050002005,0
060050005003,0
060050004023,0
060050005001,0
060050004012,0
060050003032,0
060250101022,0
060250101021,1
060871106001,0
060871106002,0
060871105022,0
060871106004,0
060871203021,0
060610214032,0
060610215011,0
060610215012,0
060610218014,0
060610209083,0
060610219012,0
060610211082,0
060610214011,0
060610202002,0
060610220022,0
060610218012,0
060610210452,0
060610210451,0
060610206011,0
060610210443,0
060610210401,0
060610211222,0
060610205023,0
060610211291,0
060610210383,0
060050004024,0
060050002001,0
060050004011,0
060050002004,0
060050004021,0
060050004022,0
060050005002,0
060050001011,0
060050001013,0
060050001014,0
060050001012,0
060050001022,0
060050003012,0
060050003011,0
060050003031,0
060050001021,0
060050003041,0
060050003042,0
060871107001,0
060871105021,0
060871101002,1
060871103001,0
060871105023,0
060871102003,0
060871102002,0
060871103002,1
060610211031,0
060610218011,0
060610214033,0
060610210031,0
060610201072,0
060610213041,1
060610216031,0
060610210352,0
060610210381,0
060610210462,0
060610231001,0
060610210342,0
060610210341,0
060610213094,0
060610221002,0
060610223002,0
060610202003,0
060610220143,0
060610220112,0
060871103003,0
060871105011,0
060871102004,0
060871105013,0
060871204001,0
060871222032,0
060871213003,0
060871005002,0
060871220031,0
060871212003,0
060610206043,0
060610206042,0
060610206041,0
060610211033,0
060610211032,0
060610206023,0
060610211034,0
060610206013,0
060610207132,1
060610201041,0
060610220111,0
060610201052,0
060610201042,0
060610201051,0
060610220141,0
060610201043,0
060610201071,0
060610201062,0
060610205012,0
060610224002,0
060610210036,0
060871212005,0
060871004001,0
060871004003,0
060871009004,0
060879901000,0
060871216002,0
060871223001,1
060871202001,0
060871220013,0
060871220011,0
060871214031,0
060610201073,0
060610216032,0
060610207142,0
060610220133,0
060610219021,0
060610206061,0
060610210032,0
060610235001,0
060610213222,0
060610225002,0
060610225001,0
060610210441,0
060610210353,0
060871214011,0
060871205003,0
060871003002,0
060871205002,0
060871212001,0
060871211001,0
060871210001,0
060871206002,0
060871206001,0
060871206003,0
060871210002,0
060871002006,1
060871213001,0
060871233001,1
060871001001,0
060871214033,0
060871215003,0
060871220015,0
060871220034,0
060871102001,1
060610206051,0
060610220142,0
060610207111,0
060610207113,0
060610207112,0
060610207121,0
060610237001,0
060610213221,1
060610234002,0
060610214012,1
060610210391,0
060610231002,0
060871202002,0
060871008004,1
060871218004,0
060871207003,0
060871203022,0
060871204003,0
060871220022,0
060871203023,0
060871212002,0
060871204004,0
060871005003,0
060871208003,0
060871009005,0
060871220021,0
060871208002,0
060871210003,0
060871209004,0
060871208001,0
060871211002,0
060871212004,0
060871104004,0
060871104001,1
060871104003,0
060871105012,0
060871106003,0
060871106005,0
060610207122,1
060610207152,0
060610207151,0
060610207101,0
060610210384,0
