GEOID,intersects_leveedarea
06085504321,0
06085504410,1
06085507003,0
06085507004,0
06085502204,0
06085502203,0
06085501902,0
06085502104,0
06085502103,0
06085504424,0
06085505015,1
06085505012,1
06085505014,1
06085505010,1
06085501901,0
06085511502,0
06085504903,1
06085504808,0
06085511501,0
06085512057,0
06085512059,0
06085503339,0
06085503338,0
06085512056,0
06085503219,0
06085503222,0
06085509111,0
06085507705,0
06085507704,0
06085512058,0
06085504807,1
06085508205,0
06085508510,0
06085508206,0
06085512513,0
06085512512,1
06085512514,0
06085512516,0
06085508305,0
06085504509,1
06085501601,0
06085501602,0
06085506505,0
06085504510,1
06085508708,0
06085505902,0
06085503127,0
06085503126,0
06085503124,0
06085503125,0
06085512055,0
06085509002,0
06085509001,0
06085508306,0
06085502704,0
06059062651,0
06059062650,0
06059062654,0
06059052531,0
06059052532,0
06059032063,0
06059062658,0
06059042341,0
06059042115,0
06059075517,0
06059052437,0
06059052534,0
06059052430,1
06059052434,0
06059075516,0
06059075518,0
06059052435,0
06059052438,0
06059052436,0
06059052535,0
06059052533,0
06059052529,0
06059052439,0
06059052433,0
06059052431,0
06001428301,1
06001428302,0
06059001801,1
06059001802,1
06059063910,1
06059052530,0
06059063909,1
06059042340,0
06059032062,0
06059076001,1
06059032064,1
06059042116,0
06059032065,0
06059032066,0
06059062655,0
06059052432,0
06059052429,0
06059062653,0
06059099418,0
06059001603,0
06059021831,0
06059021832,0
06059087302,1
06059062656,0
06059062657,0
06059062652,0
06059001710,0
06059076105,1
06059076104,1
06059076002,1
06059099419,0
06059001604,0
06059087301,1
06059001709,0
06059001903,1
06059011000,1
06059011101,1
06059011102,1
06059032037,0
06059032038,0
06059032039,0
06029001301,0
06029003135,0
06029001107,0
06029003212,1
06029005509,0
06029001804,1
06029003816,0
06029006101,0
06071007404,0
06029004605,1
06029002701,0
06029004304,0
06029001803,1
06029003308,0
06029002824,0
06029002823,0
06029002822,0
06029003817,0
06029005006,1
06029005005,1
06029004903,0
06029004904,1
06029004802,1
06029000702,0
06029004801,1
06029004703,0
06029004704,0
06029000601,1
06029004404,0
06029004403,0
06029000201,0
06029004303,0
06029000104,0
06059032040,0
06059042323,0
06059062632,0
06059062611,0
06059062614,0
06001428400,0
06001430900,0
06059062622,0
06055201102,1
06017030810,0
06017030301,0
06017030302,0
06017030808,0
06017030809,0
06075022803,0
06075047702,0
06075035202,0
06075013300,0
06075025403,0
06075022702,0
06001431000,0
06001432100,0
06085503325,0
06053013200,0
06053013600,0
06053011700,1
06053010606,1
06053010305,0
06053001200,0
06053010501,0
06085503602,1
06059011200,1
06085503703,1
06085503712,1
06001428000,0
06001428500,0
06001428600,0
06059011401,0
06059011402,0
06059011403,1
06059011502,1
06059032042,0
06059032045,0
06059032047,0
06059032050,0
06053001600,0
06053011400,0
06001430300,0
06001430400,0
06001430700,0
06059062625,0
06059062627,0
06059062629,0
06053000600,0
06053010702,1
06053013100,0
06053010102,1
06085503708,1
06059062635,0
06059062636,0
06059032048,0
06013304006,1
06013392202,0
06013392201,1
06013303210,0
06013355121,0
06013355124,0
06013345205,0
06013355126,0
06037137000,0
06001422500,0
06001422700,0
06029000103,0
06001423000,0
06001423100,0
06001424002,0
06075030202,0
06075026001,0
06075026003,0
06075026404,0
06001426200,0
06001427100,0
06001427200,0
06085503401,0
06013314106,0
06013302011,1
06013340003,0
06013355307,0
06013355120,0
06013313106,0
06013355119,0
06013303206,0
06013303207,0
06013302014,0
06013303104,0
06013303106,1
06075025401,0
06075060502,0
06075045100,0
06075016500,0
06075015300,0
06075013500,0
06075023103,0
06075022801,0
06075018000,0
06085503402,0
06085503507,1
06085508004,0
06001427300,0
06059011503,0
06059011504,0
06059011601,1
06059011602,1
06077000300,1
06077000401,1
06077000402,1
06077000500,1
06077000600,1
06059032051,0
06059032054,0
06059032055,0
06059062638,0
06085504411,1
06071005200,1
06077000700,1
06077000900,1
06059062640,0
06059062641,0
06059062642,0
06059062646,0
06071980100,1
06071008001,1
06085503322,1
06075010300,0
06075010500,0
06075010600,0
06075010800,0
06075011200,0
06075011300,0
06075011700,0
06075011800,0
06071005300,0
06085503508,0
06001423300,0
06085503709,1
06085503804,0
06085503212,0
06085503213,0
06085503217,0
06071005400,0
06059011707,0
06059011708,0
06059011709,0
06085504001,1
06085504002,1
06085504101,0
06085503218,0
06085503304,1
06077001000,1
06077001101,1
06077001102,1
06077001200,1
06059011710,0
06059042106,0
06059042107,0
06059042108,0
06059042109,0
06085503305,1
06085503306,1
06077001300,1
06077001400,1
06059062701,0
06059062702,0
06059062800,0
06059063005,0
06059063006,0
06059063008,0
06059110001,0
06071006201,1
06071006301,0
06071006401,0
06071006402,0
06085504102,0
06085503313,0
06085503315,1
06075012700,0
06075013200,0
06071007408,1
06085503323,0
06075012100,0
06075015100,0
06071006700,0
06085503321,1
06071007106,0
06071007107,0
06071007108,1
06077001600,1
06077001700,1
06077001900,1
06085504311,0
06085504314,0
06085504315,1
06077002000,1
06077002100,1
06077002300,1
06059011711,0
06059011712,0
06059011715,0
06059011716,1
06059042114,0
06001423400,0
06059042305,0
06059042307,0
06059063010,0
06059063101,0
06059063102,0
06071004201,1
06071004202,1
06071004401,0
06001423500,0
06001423602,0
06001427600,0
06059063103,0
06059063201,0
06075015900,0
06075016000,0
06075016200,0
06075016300,0
06075016400,0
06075015500,0
06075015600,0
06075016700,0
06029000202,0
06029004002,0
06029003814,0
06029006102,0
06029005511,0
06029003827,0
06029000602,1
06029003819,0
06001433000,0
06001433200,0
06001433300,0
06001433400,1
06001433500,1
06001433102,0
06077002701,1
06077002702,1
06077003106,1
06001440307,1
06001440308,1
06001441926,1
06001442301,1
06001442601,1
06071001305,0
06071001310,0
06071001103,0
06071001307,0
06071001813,0
06001443104,0
06001444601,1
06037541605,1
06037541801,1
06071000605,0
06071001704,0
06071001810,0
06071002013,1
06071002101,0
06071001101,0
06071001804,0
06001450746,0
06001451505,0
06001983200,0
06037541802,1
06037542000,1
06001451506,0
06001451704,0
06071001809,1
06071002023,1
06071002018,1
06071001806,0
06001405902,0
06001410500,0
06001425104,0
06001433104,0
06071001808,1
06071001812,0
06071002015,0
06071002029,0
06071002025,0
06067009408,0
06001440333,1
06037573800,1
06037573902,1
06037574000,1
06037574100,1
06067009632,1
06067009633,1
06067009635,1
06071002019,0
06001441524,1
06001442602,1
06001443322,0
06037574201,0
06037574202,0
06037574300,1
06037650300,0
06037650501,0
06037650502,0
06037650603,0
06037650701,0
06071002107,0
06071002038,1
06071002035,0
06071002604,0
06071002705,0
06071003509,0
06071003404,0
06067009639,1
06067004501,1
06067004502,1
06067004701,1
06067004702,1
06067005204,1
06067005510,1
06067005904,0
06029004702,1
06029004603,0
06071004101,1
06071004104,1
06001450745,1
06001981900,0
06071002207,0
06071003605,0
06071003609,0
06071003611,0
06071004301,0
06071004505,1
06001428700,0
06001403701,0
06001404102,0
06071007305,0
06029006304,0
06029006404,0
06029006403,0
06029005003,1
06037542401,1
06037542402,1
06037542502,1
06071002606,0
06071002307,0
06071002306,0
06061990000,0
06071003503,0
06071005701,0
06097150203,0
06097150204,0
06097150306,0
06001425102,0
06001425103,0
06001435103,0
06001437702,0
06097152906,1
06097153806,0
06071003507,0
06071003510,0
06071003603,0
06071003405,0
06071003102,0
06071002803,0
06001440334,1
06001441523,1
06037574400,1
06037574500,1
06037574602,0
06037574800,0
06037574901,0
06037574902,0
06037575001,0
06037575002,0
06071003301,0
06071003101,0
06097150612,1
06097150611,0
06097150609,0
06097153807,0
06097153808,0
06097154201,1
06037602900,0
06037603004,0
06071003302,0
06071003606,0
06071003612,0
06071004003,0
06071004001,0
06097152905,0
06037503301,0
06037503302,0
06097153103,0
06097153804,0
06067005205,1
06067007016,1
06071004103,1
06071003607,0
06037503401,0
06071003804,1
06071004302,1
06067007020,1
06067007428,0
06067008506,0
06067008509,0
06067009011,0
06071003803,0
06071006604,0
06071006603,0
06071004403,0
06071004404,0
06067009622,1
06067005301,1
06067005903,0
06067007019,1
06067007103,1
06037503902,0
06059063009,0
06037542601,0
06037542602,1
06037542700,0
06037542800,0
06065044605,1
06065048800,1
06065031602,0
06065040611,0
06037542900,0
06059087901,1
06059110115,1
06059087404,1
06037575201,0
06037575401,1
06037575402,1
06085503326,0
06037575802,1
06037575901,1
06037575902,0
06037576200,0
06037603101,0
06037603200,0
06037603301,0
06037603302,0
06037603400,0
06037603500,0
06037603600,0
06085512603,1
06085512042,0
06085511301,1
06085512312,0
06037603702,0
06065040812,0
06065040815,0
06037503601,0
06037503602,0
06037503701,0
06037503702,0
06065040816,0
06065045212,1
06101050401,1
06101050402,1
06085503327,0
06085512039,0
06065045213,1
06065045214,1
06065045216,1
06065045224,1
06065045226,1
06037576403,0
06037576502,0
06037576602,0
06037576700,0
06037576801,0
06037576802,0
06037576901,0
06037577000,0
06037577100,0
06037577200,0
06037577300,0
06037577400,0
06055201200,1
06037577501,0
06037609900,0
06037620002,0
06037620101,0
06037620102,0
06001406900,0
06001422100,0
06001422200,0
06001422300,0
06001422400,0
06037503801,0
06037503802,0
06061022500,0
06061020805,0
06061020715,0
06037503901,0
06037504001,0
06061021131,0
06061021130,0
06037534406,1
06037534502,1
06037534802,1
06037534803,1
06037534804,1
06015000104,0
06065042738,0
06065042739,0
06065042740,0
06065042741,0
06065042742,0
06065045233,0
06065045606,0
06065042720,0
06065044510,0
06065030900,0
06037550700,1
06111004901,0
06111004902,1
06111005204,0
06037577602,0
06037599000,0
06037600100,0
06037600201,0
06037600202,0
06111007513,0
06111007609,1
06037600302,0
06037600400,0
06037600501,0
06037620501,0
06037620522,0
06037620400,0
06037620601,0
06061021128,0
06061022100,0
06061022800,0
06061023100,0
06061022900,0
06061023600,0
06037504002,0
06037504101,1
06107002204,0
06107002203,0
06065042743,0
06065043010,0
06037534900,1
06037535101,0
06037535102,0
06037535200,0
06037535300,1
06037535400,0
06037535502,1
06037535603,1
06065046601,0
06065047201,0
06065048200,0
06059011300,1
06037535605,1
06059980000,1
06059062648,0
06059087505,1
06037551201,1
06037551300,1
06111003802,0
06111004305,0
06111004711,0
06111004715,0
06111004717,0
06111005004,1
06037600601,0
06037600602,0
06037600702,0
06037600703,0
06037600704,0
06037600801,0
06037600802,0
06037600902,0
06037600911,0
06061023300,0
06037530005,0
06037530101,1
06067007424,0
06067005505,1
06067009312,0
06067003202,1
06053010608,0
06053010506,0
06053000702,0
06053001801,0
06037530102,0
06037530203,0
06037530204,0
06037535701,1
06037535702,1
06037535802,1
06037535803,1
06037535606,1
06037535804,1
06037535901,1
06037536000,1
06067002700,1
06067009406,1
06065043227,0
06065043228,0
06065043229,0
06065048300,1
06037535607,1
06037536102,1
06037540000,1
06037540101,1
06037540102,1
06065048700,0
06065049400,1
06065049800,1
06037540202,1
06037540203,1
06067000200,1
06067000300,1
06067000400,1
06075011901,0
06037551700,1
06037551900,1
06037552100,0
06037552200,0
06067001800,1
06067001900,1
06067002000,1
06067008137,0
06067005102,0
06067007423,0
06111007610,1
06111007611,1
06037600912,0
06037601001,0
06037601100,0
06037601211,0
06037601212,0
06037601301,0
06067008905,0
06067009307,0
06067004201,1
06111008700,0
06111008800,0
06111008900,0
06111009100,0
06037601302,0
06037601401,0
06067000600,1
06067000700,1
06067000800,1
06067001300,1
06067001400,1
06067001500,1
06053001802,0
06053000502,0
06053000501,0
06053980000,0
06053010505,0
06053011204,1
06053014202,0
06053014201,0
06067007602,0
06067005508,1
06067003600,1
06067008912,1
06053010607,0
06037540300,1
06037540400,0
06037540501,1
06037540600,0
06037540700,0
06067007415,0
06067008140,0
06067008008,0
06067009110,1
06067003501,1
06037540901,0
06037540902,0
06075012901,0
06075015802,0
06065045110,1
06085508900,0
06037273700,0
06037273800,0
06085512019,0
06085512021,0
06067006004,0
06067007906,0
06067009314,0
06067008207,0
06067009501,1
06067009403,1
06037274100,0
06037552400,0
06037552602,0
06083002211,1
06067009007,0
06067009008,0
06067009106,1
06067009103,1
06085512022,0
06067009323,0
06067009107,1
06067009601,1
06067009608,1
06067007903,0
06067005506,1
06065042514,0
06085509102,0
06097154202,0
06097150305,0
06097151601,0
06075031301,0
06075031302,0
06075032601,0
06065042515,0
06065042517,0
06065042513,0
06065042518,0
06065042519,0
06085510002,0
06085510100,0
06075032902,0
06075047802,0
06075012301,0
06085503312,0
06085505100,1
06085507205,0
06085508800,0
06071008714,0
06071007307,0
06071006501,0
06071006502,0
06071006303,0
06071005601,0
06071005602,0
06071002046,1
06071002047,0
06071002610,0
06071002611,0
06071002048,0
06071002051,0
06071002049,0
06071002050,0
06071002503,0
06071002504,0
06071002405,0
06071001909,1
06071000305,0
06071000120,0
06071011601,1
06071009502,1
06071011801,1
06071001907,1
06071011802,1
06071009501,0
06071009915,1
06071009726,0
06071009722,0
06071009723,0
06071009918,0
06071009917,0
06071009916,0
06071010027,1
06071010039,1
06071009725,0
06071009727,0
06071010036,0
06071010037,0
06071011408,0
06071010030,0
06071008004,1
06071002039,1
06071002042,1
06071000307,0
06071010040,1
06071009724,0
06071009914,0
06071009720,0
06071007905,1
06071009133,1
06071009130,0
06071009129,1
06071007412,1
06071007411,1
06071009123,1
06071009122,0
06065040403,0
06065040501,0
06065040503,0
06065040603,0
06071007202,1
06071008405,1
06071007201,0
06071005102,1
